ServiceName,MaximumCapacity,Booked,DayOfTheWeek,EventName,EventTime,EventID,EventSchedule,Facility,AttendeeName,AttendeeStatus,AttendeePhone,AttendeeEmail,Age,GroupName,MainFacility,Day,Starts,Ends,ID,Duration,Max,Min,RegTotal,PercentFilled
Splash  1,6,6,Mo,Splash  1 Demo,4:00 PM - 4:30 PM,457435,From 2026-03-30 to 2026-06-08,Paul Palleschi Full Pool,"Stone, Avery",Booked,555-0110-1000,student.0.0@example.test,3,Splash  1,Paul Palleschi Full Pool,Mo,2026-03-30 4:00 PM,2026-03-30 4:30 PM,457435,30,6,1,6,100%
Splash  1,6,6,Mo,Splash  1 Demo,4:00 PM - 4:30 PM,457435,From 2026-03-30 to 2026-06-08,Paul Palleschi Full Pool,"Stone, Blake",Booked,555-0110-1001,student.0.1@example.test,4,Splash  1,Paul Palleschi Full Pool,Mo,2026-03-30 4:00 PM,2026-03-30 4:30 PM,457435,30,6,1,6,100%
Splash  1,6,6,Mo,Splash  1 Demo,4:00 PM - 4:30 PM,457435,From 2026-03-30 to 2026-06-08,Paul Palleschi Full Pool,"Lee, Casey",Booked,555-0110-1002,student.0.2@example.test,5,Splash  1,Paul Palleschi Full Pool,Mo,2026-03-30 4:00 PM,2026-03-30 4:30 PM,457435,30,6,1,6,100%
Splash  1,6,6,Mo,Splash  1 Demo,4:00 PM - 4:30 PM,457435,From 2026-03-30 to 2026-06-08,Paul Palleschi Full Pool,"Lee, Drew",Booked,555-0110-1003,student.0.3@example.test,6,Splash  1,Paul Palleschi Full Pool,Mo,2026-03-30 4:00 PM,2026-03-30 4:30 PM,457435,30,6,1,6,100%
Splash  1,6,6,Mo,Splash  1 Demo,4:00 PM - 4:30 PM,457435,From 2026-03-30 to 2026-06-08,Paul Palleschi Full Pool,"Martin, Emery",Booked,555-0110-1004,student.0.4@example.test,7,Splash  1,Paul Palleschi Full Pool,Mo,2026-03-30 4:00 PM,2026-03-30 4:30 PM,457435,30,6,1,6,100%
Splash  1,6,6,Mo,Splash  1 Demo,4:00 PM - 4:30 PM,457435,From 2026-03-30 to 2026-06-08,Paul Palleschi Full Pool,"Martin, Finley",Booked,555-0110-1005,student.0.5@example.test,8,Splash  1,Paul Palleschi Full Pool,Mo,2026-03-30 4:00 PM,2026-03-30 4:30 PM,457435,30,6,1,6,100%
Splash  3,6,6,Mo,Splash  3 Demo,4:15 PM - 4:45 PM,471646,From 2026-03-30 to 2026-06-08,Paul Palleschi Full Pool,"Martin, Emery",Booked,555-0111-1100,student.1.0@example.test,3,Splash  3,Paul Palleschi Full Pool,Mo,2026-03-30 4:15 PM,2026-03-30 4:45 PM,471646,30,6,1,6,100%
Splash  3,6,6,Mo,Splash  3 Demo,4:15 PM - 4:45 PM,471646,From 2026-03-30 to 2026-06-08,Paul Palleschi Full Pool,"Martin, Finley",Booked,555-0111-1101,student.1.1@example.test,4,Splash  3,Paul Palleschi Full Pool,Mo,2026-03-30 4:15 PM,2026-03-30 4:45 PM,471646,30,6,1,6,100%
Splash  3,6,6,Mo,Splash  3 Demo,4:15 PM - 4:45 PM,471646,From 2026-03-30 to 2026-06-08,Paul Palleschi Full Pool,"Singh, Harper",Booked,555-0111-1102,student.1.2@example.test,5,Splash  3,Paul Palleschi Full Pool,Mo,2026-03-30 4:15 PM,2026-03-30 4:45 PM,471646,30,6,1,6,100%
Splash  3,6,6,Mo,Splash  3 Demo,4:15 PM - 4:45 PM,471646,From 2026-03-30 to 2026-06-08,Paul Palleschi Full Pool,"Singh, Jordan",Booked,555-0111-1103,student.1.3@example.test,6,Splash  3,Paul Palleschi Full Pool,Mo,2026-03-30 4:15 PM,2026-03-30 4:45 PM,471646,30,6,1,6,100%
Splash  3,6,6,Mo,Splash  3 Demo,4:15 PM - 4:45 PM,471646,From 2026-03-30 to 2026-06-08,Paul Palleschi Full Pool,"Cooper, Kai",Booked,555-0111-1104,student.1.4@example.test,7,Splash  3,Paul Palleschi Full Pool,Mo,2026-03-30 4:15 PM,2026-03-30 4:45 PM,471646,30,6,1,6,100%
Splash  3,6,6,Mo,Splash  3 Demo,4:15 PM - 4:45 PM,471646,From 2026-03-30 to 2026-06-08,Paul Palleschi Full Pool,"Cooper, Logan",Booked,555-0111-1105,student.1.5@example.test,8,Splash  3,Paul Palleschi Full Pool,Mo,2026-03-30 4:15 PM,2026-03-30 4:45 PM,471646,30,6,1,6,100%
Swimming Private Lesson,6,1,Mo,Swimming Private Lesson Demo,4:15 PM - 4:45 PM,496565,From 2026-03-30 to 2026-06-08,Paul Palleschi Full Pool,"Cooper, Kai",Waiting,555-0112-1200,student.2.0@example.test,3,Swimming Private Lesson,Paul Palleschi Full Pool,Mo,2026-03-30 4:15 PM,2026-03-30 4:45 PM,496565,30,6,1,1,17%
Swimming Private Lesson,6,1,Mo,Swimming Private Lesson Demo,4:15 PM - 4:45 PM,496565,From 2026-03-30 to 2026-06-08,Paul Palleschi Full Pool,"Cooper, Logan",Waiting,555-0112-1201,student.2.1@example.test,4,Swimming Private Lesson,Paul Palleschi Full Pool,Mo,2026-03-30 4:15 PM,2026-03-30 4:45 PM,496565,30,6,1,1,17%
